Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
1/1/2020,92220,2007,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90270,2018,Battery Electric,OTHER/UNK,Light,3
1/1/2020,90272,2018,Battery Electric,OTHER/UNK,Light,20
1/1/2020,90274,2018,Battery Electric,OTHER/UNK,Light,24
1/1/2020,90275,2018,Battery Electric,OTHER/UNK,Light,10
1/1/2020,90277,2018,Battery Electric,OTHER/UNK,Light,16
1/1/2020,90278,2018,Battery Electric,OTHER/UNK,Light,11
1/1/2020,90280,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90290,2018,Battery Electric,OTHER/UNK,Light,9
1/1/2020,90291,2018,Battery Electric,OTHER/UNK,Light,20
1/1/2020,90292,2018,Battery Electric,OTHER/UNK,Light,18
1/1/2020,90293,2018,Battery Electric,OTHER/UNK,Light,7
1/1/2020,90294,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90295,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90296,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90266,2018,Battery Electric,OTHER/UNK,Light,22
1/1/2020,90301,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90303,2018,Battery Electric,OTHER/UNK,Light,8
1/1/2020,90304,2018,Battery Electric,OTHER/UNK,Light,4
1/1/2020,90305,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90401,2018,Battery Electric,OTHER/UNK,Light,4
1/1/2020,90402,2018,Battery Electric,OTHER/UNK,Light,17
1/1/2020,90403,2018,Battery Electric,OTHER/UNK,Light,25
1/1/2020,90404,2018,Battery Electric,OTHER/UNK,Light,16
1/1/2020,90405,2018,Battery Electric,OTHER/UNK,Light,19
1/1/2020,90406,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90501,2018,Battery Electric,OTHER/UNK,Light,11
1/1/2020,90502,2018,Battery Electric,OTHER/UNK,Light,4
1/1/2020,90503,2018,Battery Electric,OTHER/UNK,Light,17
1/1/2020,90504,2018,Battery Electric,OTHER/UNK,Light,9
1/1/2020,90505,2018,Battery Electric,OTHER/UNK,Light,10
1/1/2020,90302,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90506,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90265,2018,Battery Electric,OTHER/UNK,Light,16
1/1/2020,90255,2018,Battery Electric,OTHER/UNK,Light,9
1/1/2020,90068,2018,Battery Electric,OTHER/UNK,Light,28
1/1/2020,90069,2018,Battery Electric,OTHER/UNK,Light,15
1/1/2020,90071,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90077,2018,Battery Electric,OTHER/UNK,Light,14
1/1/2020,90078,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90089,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90093,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90094,2018,Battery Electric,OTHER/UNK,Light,7
1/1/2020,90095,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90201,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90203,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90209,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90210,2018,Battery Electric,OTHER/UNK,Light,14
1/1/2020,90211,2018,Battery Electric,OTHER/UNK,Light,6
1/1/2020,90262,2018,Battery Electric,OTHER/UNK,Light,7
1/1/2020,90212,2018,Battery Electric,OTHER/UNK,Light,4
1/1/2020,90221,2018,Battery Electric,OTHER/UNK,Light,8
1/1/2020,90222,2018,Battery Electric,OTHER/UNK,Light,2
1/1/2020,90224,2018,Battery Electric,OTHER/UNK,Light,1
1/1/2020,90230,2018,Battery Electric,OTHER/UNK,Light,18
1/1/2020,90232,2018,Battery Electric,OTHER/UNK,Light,16
1/1/2020,90240,2018,Battery Electric,OTHER/UNK,Light,4
1/1/2020,90241,2018,Battery Electric,OTHER/UNK,Light,5
